# OpenSignals Text File Format
# {"CC:78:AB:62:C7:8F":{"sensor":["RAW","RAW","RAW","RAW","RAW","RAW"],"device name":"CC:78:AB:62:C7:8F","column":["nSeq","I1","I2","O1","O2","A1","A2","A3","A4","A5","A6"],"sync interval":2,"time":"12:23:22","comments":"","device connection":"BLECC:78:AB:62:C7:8F","channels":[1,2,3,4,5,6],"date":"2022-04-28","mode":0,"digital IO":[0,0,1,1],"firmware version":0,"device":"bitalino_rev","position":0,"sampling rate":100,"label":["A1","A2","A3","A4","A5","A6"],"resolution":[10,10,10,10,6,6],"special":[{},{},{},{},{},{}]}}
# EndOfHeader
0	0	0	1	0	511	550	0	487	38	5
1	0	0	1	0	505	548	0	500	38	5
2	0	0	1	0	517	544	0	501	38	5
3	0	0	1	0	507	538	0	504	38	5
4	0	0	1	0	507	507	0	507	38	5
5	0	0	0	0	506	496	0	664	38	5
6	0	0	0	0	509	501	0	512	38	5
7	0	0	0	0	510	498	0	497	38	5
8	0	0	0	0	508	472	0	488	38	5
9	0	0	0	0	509	511	0	486	38	5
10	0	0	0	0	509	738	0	495	38	5
11	0	0	0	0	505	932	0	493	38	5
12	0	0	0	0	512	782	0	477	38	5
13	0	0	0	0	515	492	0	487	38	5
14	0	0	0	0	511	392	0	496	38	5
15	0	0	0	0	514	409	0	499	38	5
0	0	0	0	0	510	415	0	492	38	5
1	0	0	0	0	502	420	0	493	38	5
2	0	0	0	0	512	439	0	483	38	5
3	0	0	0	0	501	446	0	505	38	5
4	0	0	0	0	511	460	0	495	38	5
5	0	0	0	0	512	459	0	488	38	5
6	0	0	0	0	508	472	0	484	38	5
7	0	0	0	0	505	479	0	482	38	5
8	0	0	0	0	510	501	0	477	38	5
9	0	0	0	0	515	502	0	481	38	5
10	0	0	0	0	512	505	0	485	38	5
11	0	0	0	0	510	522	0	475	38	5
12	0	0	0	0	504	540	0	481	38	5
13	0	0	0	0	512	533	0	500	38	5
14	0	0	0	0	511	540	0	487	38	5
15	0	0	0	0	506	546	0	482	38	5
0	0	0	0	0	511	550	0	494	38	5
1	0	0	0	0	502	539	0	490	38	5
2	0	0	0	0	513	562	0	483	38	5
3	0	0	0	0	503	554	0	491	38	5
4	0	0	0	0	512	530	0	498	38	5
5	0	0	0	0	507	517	0	487	38	5
6	0	0	0	0	510	495	0	495	38	5
7	0	0	0	0	510	468	0	474	38	5
8	0	0	0	0	506	467	0	484	38	5
9	0	0	0	0	512	455	0	491	38	5
